Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,10u,
"C2, C4, C6",C_Disc_D5.0mm_W2.5mm_P2.50mm,3,100n,
C3,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,10p,
C5,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,100p,
J1,PinSocket_1x04_P2.54mm_Horizontal,1,Conn_01x04_Socket,
J2,PinSocket_2x12_P2.54mm_Vertical,1,Conn_02x12_Odd_Even,
J4,PinSocket_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,
L1,L_Axial_L5.3mm_D2.2mm_P2.54mm_Vertical_Vishay_IM-1,1,L,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,1K,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,2K,
U1,CERDIP-16_W7.62mm_SideBrazed,1,MCP3008,
